grade,subject,topicId,topic,exerciseId,type,difficulty,question,answer,lp21,richType
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-mc1","multiple-choice","1","Was ist eine Quelle?","Der Ursprung einer Information","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-mc2","multiple-choice","2","Was hilft beim Prüfen einer Behauptung?","Mehrere verlässliche Quellen vergleichen","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-mc3","multiple-choice","2","Welche Frage passt zu einem Bild im Internet?","Wer hat das Bild gemacht und warum?","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-mc4","multiple-choice","1","Woran erkennt man Werbung oft?","Sie will zu einem Kauf oder Klick bewegen","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-mc5","multiple-choice","1","Was ist eine Meinung?","Eine persönliche Einschätzung","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-mc6","multiple-choice","2","Was ist eine Tatsache?","Etwas, das man prüfen kann","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-fb1","fill-in-blank","1","Eine Information kommt aus einer ___.","Quelle","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-fb2","fill-in-blank","1","Eine Tatsache kann man ___.","prüfen","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-fb3","fill-in-blank","1","Werbung möchte oft, dass man etwas ___.","kauft","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-fb4","fill-in-blank","2","Bei einer Behauptung hilft ein zweiter ___.","Beleg","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-fb5","fill-in-blank","2","Eine Meinung ist nicht automatisch ___.","falsch","MI.1.2","false"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-ma1","matching","1","Ordne Begriff und Bedeutung.","richtig zugeordnet","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-me1","memory","1","Ordne Begriff und Bedeutung.","alle Paare gefunden","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-ma2","matching","2","Ordne die Aussage richtig ein.","richtig zugeordnet","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-me2","memory","2","Ordne die Aussage richtig ein.","alle Paare gefunden","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-dd1","drag-drop","1","Sortiere Tatsache und Meinung.","richtig sortiert","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-dd2","drag-drop","2","Sortiere gute und schwache Prüf-Schritte.","richtig sortiert","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-ws1","word-search","2","Finde die MI-Wörter.","QUELLE, BELEG, FAKT, BILD","MI.1.2","true"
"4","Medien & Informatik","informationen-pruefen-4","Informationen prüfen","mi4-informationen-pruefen-4-sr1","self-review","2","Erkläre, wie du eine überraschende Nachricht prüfen würdest.","eigene begründete Antwort","MI.1.2","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-mc1","multiple-choice","1","Was ist ein Programm?","Eine Folge von Befehlen für ein Gerät","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-mc2","multiple-choice","2","Was bedeutet Debugging?","Fehler in einem Ablauf finden und verbessern","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-mc3","multiple-choice","2","Warum testet man ein Programm?","Damit man sieht, ob es wie geplant funktioniert","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-mc4","multiple-choice","2","Was ist eine Schleife?","Eine Wiederholung von Befehlen","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-mc5","multiple-choice","1","Was braucht ein genauer Befehl?","Eine klare Handlung","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-mc6","multiple-choice","3","Was ist eine Bedingung?","Eine Wenn-dann-Regel","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-fb1","fill-in-blank","1","Ein Gerät folgt klaren ___.","Befehlen","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-fb2","fill-in-blank","2","Eine Wiederholung nennt man auch ___.","Schleife","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-fb3","fill-in-blank","1","Beim Testen sucht man ___.","Fehler","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-fb4","fill-in-blank","3","Eine Wenn-dann-Regel ist eine ___.","Bedingung","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-fb5","fill-in-blank","2","Ein Ablaufplan zeigt die ___ der Schritte.","Reihenfolge","MI.2.2, MI.2.3","false"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-ma1","matching","1","Ordne Programmierwörter zur Bedeutung.","richtig zugeordnet","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-me1","memory","1","Ordne Programmierwörter zur Bedeutung.","alle Paare gefunden","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-ma2","matching","2","Ordne die Regel zur Situation.","richtig zugeordnet","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-me2","memory","2","Ordne die Regel zur Situation.","alle Paare gefunden","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-dd1","drag-drop","1","Sortiere Befehle und keine Befehle.","richtig sortiert","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-dd2","drag-drop","2","Sortiere nach Programmier-Idee.","richtig sortiert","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-ws1","word-search","2","Finde die MI-Wörter.","CODE, TEST, FEHLER, PLAN","MI.2.2, MI.2.3","true"
"4","Medien & Informatik","programme-befehle-4","Programme & Befehle","mi4-programme-befehle-4-sr1","self-review","2","Schreibe eine Wenn-dann-Regel aus deinem Alltag.","eigene begründete Antwort","MI.2.2, MI.2.3","true"
